,totgen,coal,oil,biomass,IPP,alphacoal,alphaoil,alphabiomass,alphaIPP,,,,,,,,,,
179,2612.200048,784.5329477,364.4248676,-0.497112782,597.8916578,0.300334176,0.13950879,-0.000190304,0.22888433,,,,,,,,,,
180,2548.233206,787.4149987,369.1668076,-0.535514782,598.2184678,0.309004292,0.144871673,-0.000210151,0.234758132,,,,,,,,,,
181,2513.572704,829.3104642,370.3632246,-0.715524782,597.3236178,0.329932953,0.14734534,-0.000284664,0.237639284,,,,,,,,,,
182,2453.396107,847.9742095,370.3571836,-0.796829782,597.8840878,0.345632818,0.150956946,-0.000324786,0.243696518,,,,,,,,,,
183,2377.270386,846.997649,370.5461816,-0.958538782,600.2785978,0.356289993,0.15587044,-0.00040321,0.252507498,,,,,,,,,,
184,2330.441132,833.2332632,369.7058266,-1.052518782,600.9174778,0.35754315,0.158641993,-0.000451639,0.257855678,,,,,,,,,,
185,2258.988896,820.0925229,370.1784976,-1.000015782,600.2171278,0.363035217,0.163869109,-0.000442683,0.265701673,,,,,,,,,,
186,2100.9693,808.125811,371.1026346,-1.630576782,600.8344778,0.384644274,0.176634011,-0.000776107,0.285979656,,,,,,,,,,
187,2046.510521,772.6236804,371.7233656,-2.770866782,600.7760278,0.37753223,0.181637652,-0.001353947,0.293561172,,,,,,,,,,
188,1983.967336,743.78662,374.7189586,-3.134374782,600.5778378,0.374898622,0.188873552,-0.001579852,0.302715588,,,,,,,,,,
189,1942.46784,715.5610732,378.6262486,-3.086221782,595.1340178,0.368377308,0.194920215,-0.001588815,0.306380371,,,,,,,,,,
190,1881.874153,700.6649421,312.9283616,-2.756690782,593.6143278,0.372322953,0.166285488,-0.001464865,0.315437845,,,,,,,,,,
191,1841.635464,698.5700249,313.1294716,-2.293089782,593.4213078,0.379320467,0.170027933,-0.001245138,0.322225174,,,,,,,,,,
192,1822.670456,697.6399787,302.4173786,-2.047374782,590.7141278,0.382757057,0.165919943,-0.001123283,0.324092666,,,,,,,,,,
193,1851.756171,700.0278984,317.5215008,-3.938638286,642.0884144,0.378034597,0.17147047,-0.002126975,0.346745659,,,,,,,,,,
194,1780.556867,699.5785515,265.7190217,-2.518719817,590.2498122,0.392898741,0.149233662,-0.001414569,0.33149731,,,,,,,,,,
195,1766.409712,702.7442819,230.7421908,-3.029308583,590.0777334,0.397837646,0.130627787,-0.001714952,0.334054851,,,,,,,,,,
196,1747.966611,708.5079997,231.8491626,-3.205153339,590.7602339,0.405332685,0.132639354,-0.001833647,0.337969976,,,,,,,,,,
197,1732.251456,714.5353123,232.176686,-3.26709977,573.8431968,0.41248937,0.134031745,-0.001886042,0.331270148,,,,,,,,,,
198,1711.906159,724.5044139,238.6530926,-3.326225715,573.2914255,0.423215028,0.139407812,-0.001942995,0.334884843,,,,,,,,,,
199,1693.504874,731.738466,239.8462324,-3.287559687,573.7511802,0.432085244,0.141627128,-0.001941276,0.338795116,,,,,,,,,,
200,1678.414939,737.0172215,240.2021851,-2.906541514,556.3709742,0.439115027,0.143112516,-0.001731718,0.331485952,,,,,,,,,,
201,1665.847784,743.2300802,239.9771967,-3.042599139,527.1386505,0.446157258,0.144057098,-0.001826457,0.316438666,,,,,,,,,,
202,1658.123141,760.9676115,239.9967595,-2.584923176,527.3708527,0.458933111,0.14474001,-0.001558945,0.318052887,,,,,,,,,,
203,1647.819021,779.0495545,240.7151543,-2.732081172,528.3913569,0.472776163,0.146081063,-0.001657998,0.320661038,,,,,,,,,,
